2024/10/27 16:44:35.902 | INFO | Запуск приложения 
2024/10/27 16:44:35.918 | INFO | Проверка наличия файла с заказами... 
2024/10/27 16:44:35.918 | INFO | Файл найден 
2024/10/27 16:44:35.918 | INFO | Стартовал 1 цикл приложения 
2024/10/27 16:44:35.964 | INFO | Ввод цифры меню... 
2024/10/27 16:44:37.298 | INFO | Открыто меню нового заказа 
2024/10/27 16:44:37.342 | INFO | Генерация ID 
2024/10/27 16:44:37.342 | FATAL | Ошибка! Данные ошибки: Could not find file 'C:\Users\Machina\source\repos\DeliveryTZ\DeliveryTZ\bin\Debug\net8.0\сасай'.
2024/10/27 16:46:01.063 | INFO | Запуск приложения 
2024/10/27 16:46:01.077 | INFO | Проверка наличия файла с заказами... 
2024/10/27 16:46:01.077 | INFO | Файл найден 
2024/10/27 16:46:01.077 | INFO | Стартовал 1 цикл приложения 
2024/10/27 16:46:01.124 | INFO | Ввод цифры меню... 
2024/10/27 16:46:02.536 | INFO | Открыто меню нового заказа 
2024/10/27 16:46:02.590 | INFO | Генерация ID 
2024/10/27 16:46:02.590 | INFO | Ввод веса... 
2024/10/27 16:46:11.189 | INFO | Введен вес: 13,4 
2024/10/27 16:46:11.189 | INFO | Ввод улицы... 
2024/10/27 16:46:17.329 | INFO | Введен успешно 
2024/10/27 16:46:17.329 | INFO | Ввод улицы... 
2024/10/27 16:46:19.715 | INFO | Введен успешно 
2024/10/27 16:46:19.715 | INFO | Передан район: ул.Орел,15 
2024/10/27 16:46:19.715 | INFO | Ввод даты и времени заказа... 
2024/10/27 16:46:43.740 | INFO | Введена дата и время заказа: 15.02.2025 14:46:10 
2024/10/27 16:46:43.740 | INFO | Отправка данных в файл FileOrder.csv... 
2024/10/27 16:46:43.746 | INFO | Успешно 
2024/10/27 16:46:43.746 | INFO | Стартовал 2 цикл приложения 
2024/10/27 16:46:43.789 | INFO | Ввод цифры меню... 
2024/10/27 16:46:46.629 | INFO | Открыто меню фильтрации 
2024/10/27 16:46:46.674 | INFO | Ввод улицы доставки... 
2024/10/27 16:46:52.797 | INFO | Введена улица доставки: ул.Орел 
2024/10/27 16:46:52.797 | INFO | Поиск первого заказа... 
2024/10/27 16:46:52.797 | INFO | Заказ найден 
2024/10/27 16:46:52.797 | INFO | Отправка списка заказов в файл фильтрации... 
2024/10/27 16:46:52.797 | INFO | Успешно 
2024/10/27 16:46:52.797 | INFO | Стартовал 3 цикл приложения 
2024/10/27 16:46:52.844 | INFO | Ввод цифры меню... 
2024/10/27 16:46:54.793 | INFO | Открыто меню фильтрации 
2024/10/27 16:46:54.837 | INFO | Ввод улицы доставки... 
